"film","directors","writers","countries"
"Drôles d'oiseaux","Gérard Jean Jugnot","Gérard Jugnot","France"
"Zappatore","Alfonso Brescia","Alfonso Brescia; Piero Regnoli","Italy"
"Valmiki","Chittajallu Srinivasa Rao","C. S. Rao","Bhārat Gaṇarājya; India"
"Do Not Disturb","Dick Herman Willem Maas","Dick Maas","Germany; the Netherlands"
"Mughal-e-Azam","Asif Karim","K. Asif; Kamal Amrohi; Wajahat Mirza; Wajahat Mirza Changezi","Bhārat Gaṇarājya; India"
"Limelight","Charles Spencer Chaplin","Charles Chaplin; Charlie Chaplin","the United States"
"Lincoln","Steven Allan Spielberg","Tony Kushner","the United States"
"The Peach Tree","Ku Hye-sun","Ku Hye-seon; Ku Hye-sun","South Korea"
"Monsieur Klein","Joseph Walton Losey III","Franco Solinas","France"
"A Dog's Breakfast","David Ian Hewlett","David Hewlett","Canada"
"Nuvvante Naakishtam","Eedara Veera Venkata Satyanarayana","E. V. V. Satyanarayana; ఇ.వి.వి.సత్యనారాయణ","Bhārat Gaṇarājya; India"
"Return to Bolivia","Jose Mariano Raffo","Mariano Raffo","Argentina"
"Breaking Point","Benjamin Clark","Stanley Mann","the United States"
"Charlotte Gray","Gillian May Armstrong","Jeremy Brock","Australia"
"(The Last Italian Tango)","Fernando Cicero","Mario Mariani; Nando Cicero","Italy"
"To Love","Jörn Johan Donner","Jörn Donner","Konungariket Sverige; Sweden"
"Black Mama White Mama","Edgar Sinco Romero","Jonathan Demme","Republika ng Pilipinas; the Philippines; the United States"
"We'll Never Have Paris","Simon Maxwell Helberg","Simon Helberg","the United States"
"The Leopard","Luchino Visconti di Modrone","Luchino Visconti; Massimo Franciosa; Pasquale Festa Campanile; Suso Cecchi d'Amico","Italy"
"Sky Full of Moon","John Hoeffer","Norman Foster","the United States"
"Dr. Dolittle","Betty Lucille Nienhauser","Nat Mauldin","the United States"
"Ibn el-Nil","Youssef Gabriel Chahine","Youssef Chahine","Egypt"
"At the Villa Rose","William Seward Folkard","Sinclair Hill","United Kingdom"
"Joe + Belle","Veronica Kedar","Veronica Kedar","Israel"
"Lucky Bastard","Robert Stuart Nathan","Robert Nathan; Robert Stuart Nathan","the United States"
"Khulay Asmaan Kay Neechay","Sheikh Javed Iqbal","Javed Sheikh","Pakistan"
"Gandugali Kumara Rama","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Live Flesh","Pedro Almodóvar Caballero","Pedro Almodóvar; Ray Loriga","Spain"
"Dil Chahta Hai","Farhan Akhtar","Farhan Akhtar","Bhārat Gaṇarājya; India"
"(Mani di velluto)","Franco Castellano; Giuseppe Moccia","Castellano & Pipolo; Castellano and Pipolo","Italy"
"Return of Hanuman","Anurag Singh Kashyap","Anurag Kashyap","Bhārat Gaṇarājya; India"
"Sodom und Gomorrha","Mihaly Kertesz","Ladislaus Vajda; Michael Curtiz","Austria"
"Aaru Mooru Ombhatthu","Kikkeri Shamanna Lakshminarasimha Swamy","Valampuri Somanathan; வலம்புரி சோமநாதன்","Bhārat Gaṇarājya; India"
"Short Cuts","Robert Bernard Altman","Robert Altman","the United States"
"Naa Illu","Vuppaladadiyam Nagaiah","Devulapalli Krishnasastri; Devulapalli Venkata Krishnasastri","Bhārat Gaṇarājya; India"
"Corações em Suplício","Eugenio Centenaro","Eugenio Centenaro Kerrigan","Brazil"
"Kanchivaram","Priyadarshan Soman Nair","Priyadarshan","Bhārat Gaṇarājya; India"
"Theri","Arun Kumar","Atlee","Bhārat Gaṇarājya; India"
"Midnight Express","Alan William Parker","Oliver Stone","Turkey"
"लूटेरे","Dharmesh Darshan","Dharmesh Darshan; Kamlesh Pandey","Bhārat Gaṇarājya; India"
"Manila, Open City","Edgar Sinco Romero","Eddie Romero","Republika ng Pilipinas; the Philippines"
"Himam","Joshi","T. Damodaran; ടി. ദാമോദരൻ","Bhārat Gaṇarājya; India"
"Bullfighter and the Lady","Oscar Boetticher, Jr.","James Edward Grant","Mexico"
"C.I.D. Nazir","Pattathil Venugopalan Menon","P. J. Antony; P. Venu; Umadevi; उमादेवी; പി.ജെ. ആന്റണി","Bhārat Gaṇarājya; India"
"Addicted to Love","Thomas Griffin Dunne","Robert Gordon","the United States"
"Abgehauen","Frank Paul Beyer","Ulrich Plenzdorf","Germany"
"Come Play With Me","George Harrison Marks","George Harrison Marks; Harrison Marks","United Kingdom"
"Norberto's Deadline","Daniel Hendler","Daniel Hendler","''; Uruguay"
"Le motorizzate","Marino Girolami","Aldo Grimaldi; Marino Girolami; Sergio Corbucci","Italy"
"Book of Shadows:","Joseph Berlinger","Daniel Myrick; Eduardo Sánchez","the United States"
"Second Skin (Segunda piel)","Gerardo Vera Perales","Gerardo Vera","Spain"
"Reza Motorcyclist","Masoud Kimiai","Masoud Kimiai","Iran"
"Oru Sundariyude Katha","Thoppil Bhaskara Pillai","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Engamma Sapatham","Muthuraman","Panchu Arunachalam","Bhārat Gaṇarājya; India"
"Land of Widows","1983","Aarti Shrivastava","Bhārat Gaṇarājya; India"
"Amorosa","Mai Elisabeth Zetterling","Mai Zetterling","Konungariket Sverige; Sweden"
"Warm Nights on a Slow Moving Train","Robert James Ellis","Bob Ellis; Denny Lawrence","Australia"
"Bridge to Nowhere","Ian Barry Mune","Ian Mune","Aotearoa (Māori); New Zealand"
"Diljale","Harjaspal Baweja","Karan Razdan","Bhārat Gaṇarājya; India"
"The Brute","Oscar Devereaux Micheaux","Oscar Micheaux","the United States"
"Maravil Thirivu Sookshikkuka","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Alik Sukh.","Shiboprosad Mukherjee","Nandita Roy; Suchitra Bhattacharya","Bhārat Gaṇarājya; India"
"Dacii","Sergiu Florin Nicolaescu","Titus Popovici","Romania"
"Post Mortem","Pablo Larraín Matte","Pablo Larraín","Chile"
"The Messiah","Nader Talebzadeh","Nader Talebzadeh","Iran"
"The Big Bang","Jean-Paul Walravens","Picha; Tony Hendra","Belgium; France"
"Soegija","Garin Nugroho Riyanto","Garin Nugroho","Indonesia; Republik Indonesia"
"Abadan","Mani Haghighi","Mani Haghighi","Iran"
"""The Conjuring""","John Robert Leonetti","Carey Hayes","the United States"
"El baisano Jalil","Joaquín Pardavé Arce","Adolfo Fernández Bustamante; Joaquín Pardavé","Mexico"
"Minnaram","Priyadarshan Soman Nair","Priyadarshan","Bhārat Gaṇarājya; India"
"The Pilgrim","Charles Spencer Chaplin","Charles Chaplin; Charlie Chaplin","the United States"
"Tiger in the Smoke","Roy Horace Baker","Anthony Pelissier; Margery Allingham","United Kingdom"
"Mademoiselle","Cecil Antonio Richardson","Jean Genet; Marguerite Duras","France"
"Maga Rayudu","Eedara Veera Venkata Satyanarayana","E. V. V. Satyanarayana; ఇ.వి.వి.సత్యనారాయణ","Bhārat Gaṇarājya; India"
"Scream for Help","Robert Michael Winner","Tom Holland","the United States"
"Al-mohager","Youssef Gabriel Chahine","Youssef Chahine","France"
"Ruby","Gene Curtis Harrington; John Leonard Duncan MacKenzie","Stephen Davis; Steve Krantz","the United States"
"How Do You Know","James Lawrence Brooks","James L. Brooks","the United States"
"La Possibilité d'une île","Michel Thomas","Michel Houellebecq","France"
"Viva la muerte","Fernando Arrabal Terán","Fernando Arrabal","France; Tunisia"
"Mr. Bones","Gray Hofmeyr","Gray Hofmeyr; Leon Schuster","South Africa"
"Avanti!","Samuel Wilder","Billy Wilder","Italy"
"Nenapina Doni","Talakadu Srinivasaiah Nagabharana","T. S. Nagabharana","Bhārat Gaṇarājya; India"
"Ezhai Pangalan","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"Mailman Mueller","Heinrich Wilhelm Rühmann","Eberhard Keindorff; Ernst Neubach; Johanna Sibelius","''; Federal Republic of Germany; West Germany"
"The Night Heaven Fell (Les Bijoutiers du claire de lune)","Roger Vadim Plemiannikov","Jacques Rémy; Peter Viertel; Roger Vadim","France; Italy"
"A Dinner Date","Mohamed Hamed Hassan Khan; محمد حامد حسن خان","Mohamed Khan","Egypt"
"Black Friday","Anurag Singh Kashyap","Anurag Kashyap","Bhārat Gaṇarājya; India"
"Kabhi Alvida Naa Kehna","Karan Dharma Kama Johar","Karan Johar; Niranjan Iyengar; Shibani Bathija","Bhārat Gaṇarājya; India"
"Red Dawn","John Frederick Milius","John Milius; Kevin Reynolds","the United States"
"The Fighting American","William Webster Campbell","Harvey Gates; Raymond L. Schrock","the United States"
"Further up the Creek","Valmond Maurice Guest","Val Guest","United Kingdom"
"Naradhan Keralathil","K. Velayudan Nair","Cheri Viswanath","Bhārat Gaṇarājya; India"
"Paalazhi Madhanam","Nambiathusseril Varkey John","Komal Swaminathan; S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Cosmos: War of the Planets","Alfonso Brescia","Alfonso Brescia; Massimo Lo Jacono","Italy"
"Tjenare kungen","Ulf Peter Vilhelm Malmros","Ulf Malmros","Konungariket Sverige; Sweden"
"Plan 9 from Outer Space","Edward Davis Wood Jr.","Ed Wood","the United States"
"The Rise and Fall of the Great Lakes","William Clifford Mason","Bill Mason","Canada"
"Dr. Siva","A. Chengalvaraya Mudaliar Thirulokachander","A. C. Tirulokchandar","Bhārat Gaṇarājya; India"
"Kadathanaattu Maakkam","Maliampurackal Chacko Punnoose","P. K. Sarangapani","Bhārat Gaṇarājya; India"
"Sira` Fi al-Wadi","Youssef Gabriel Chahine","Helmy Halim","Egypt"
"From the Drain","David Paul Cronenberg","David Cronenberg","Canada"
"The Adventure of Faustus Bidgood","Andrew Jordan Jones","Andy Jones","Canada"
"The Way","Emilo Estévez","Emilio Estevez","Spain"
"P2","Franck Ange Khalfoun","Alexandre Aja; Franck Khalfoun; Grégory Levasseur","the United States"
"Soltan-e Ghalbha","Mohammad Ali Fardin","Mohammad Ali Fardin; محمدعلی فردین","Iran"
"Big Bad Love","Leslie Richard Howard","Arliss Howard; James Howard; Larry Brown","the United States"
"Mungaru Male","Yogaraj Bhat","Yogaraj Bhat","Bhārat Gaṇarājya; India"
"Fintan Brady","Georg Henri Anton Ivens","Henri Storck; Joris Ivens","Belgium"
"The Cloud Door","Rabindranath Kaul","Bhāsa; Malik Muhammad Jayasi; Mani Kaul","Bhārat Gaṇarājya; India"
"Blair Witch 2","Joseph Berlinger","Daniel Myrick; Eduardo Sánchez","the United States"
"Babette's Feast","Axel Gabriel Erik Mørch","Gabriel Axel","Denmark"
"Aadyapaadam","K. Bhaskaran Nair","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Harold & Kumar Escape from Guantanamo Bay","Jonathan Benjamin Hurwitz","Hayden Schlossberg; Jon Hurwitz","the United States"
"Varavu Nalla Uravu","M R Viswanthan","Visu","Bhārat Gaṇarājya; India"
"The Attacks of 26/11","Penmetsa Ram Gopal Varma","Ram Gopal Varma; Rommel Rodrigues; రాం గోపాల్ వర్మ","Bhārat Gaṇarājya; India"
"Rocío de La Mancha","Luis Lucia Mingarro","Luis Lucia; Luis Lucia Mingarro","Spain"
"Ong Bak 2: The Beginning","Krittiya Lardphanna","Panna Rittikrai; Tony Jaa","Ratcha-anachak Thai; Thailand"
"Akalangalil","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Lèvres de Sang","Jean Michel Rollin Roth Le Gentil","Jean Rollin; Jean-Loup Philippe","France"
"Sambizanga","Sarah Ducados","Sarah Maldoror","Brazzaville"
"Penelope","Mark Palansky","Leslie Caveny","the United States"
"La ilusión viaja en tranvía","Luis Buñuel Portolés","Luis Alcoriza","Mexico"
"Pavithra","Shankar Krishnan","K. Subash; K. Subhash","Bhārat Gaṇarājya; India"
"Giliap","Roy Arne Lennart Andersson","Roy Andersson","Konungariket Sverige; Sweden"
"Broken Barrier","Roger Eastgate Holden Mirams","John O'Shea","Aotearoa (Māori); New Zealand"
"Wake in Fright","William Theodore Kotcheff","Evan Jones","the United States"
"5 Sundarikal","Sameer C. Thahir","HASHIR MOHAMED; Hashir Mohamed; Unni R.","Bhārat Gaṇarājya; India"
"The Adventures of Tintin","Steven Allan Spielberg","Edgar Wright; Steven Moffat","Aotearoa (Māori); New Zealand; the United States"
"The Twilight Saga: New Moon","Christopher John Weitz","Melissa Rosenberg","the United States"
"Who's Minding the Mint?","Howard Jerome Morris","Harvey Bullock","the United States"
"Comic Book Confidential","Ronald Mann","Ron Mann","Canada"
"The Last Kiss","Anthony Howard Goldwyn","Gabriele Muccino; Paul Haggis; Zach Braff","the United States"
"Kamulah Satu-Satunya","Setiawan Hanung Bramantyo","Hanung Bramantyo","Indonesia; Republik Indonesia"
"Manku Thimma","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Angel on My Shoulder","Archibald L. Mayo","Roland Kibbee","the United States"
"Psychomania","Donald Herman Sharp","Arnaud d'Usseau","United Kingdom"
"Urga","Nikita Sergeyevich Mikhalkov","Nikita Mikhalkov; Rustam Ibragimbekov","France"
"Monday's Child","Leopoldo Torres Nilsson","Beatriz Guido; Leopoldo Torre Nilsson","Argentina"
"Dekada ‘70","Sixto Kayko","Lualhati Bautista","Republika ng Pilipinas; the Philippines"
"Samson und Delila; Samson and Delilah","Sándor László Kellner","Alexander Korda; Ladislao Vajda","Austria"
"Anita: Dances of Vice","Holger Bernhard Bruno Waldemar Mischwitzky","Rosa von Praunheim","''; Federal Republic of Germany; West Germany"
"The Cat Came Back","Cordell Barker","Cordell Barker","Canada"
"Poonthenaruvi","Nambiathusseril Varkey John","Muttathu Varkey; Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Bangarada Kalasha","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Stop-Loss","Kimberly Ane Peirce","Kimberly Peirce; Mark Richard","the United States"
"Ninnistham Ennishtam","Ashraf","Priyadarshan","Bhārat Gaṇarājya; India"
"Azhage Unnai Aarathikkiren=","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Anatomy of a Marriage: My Days with Françoise","Marcel Truc","André Cayatte","''; Federal Republic of Germany; France; Italy; West Germany"
"Maneye Manthralaya","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Beowulf","Robert Lee Zemeckis","Neil Gaiman; Roger Avary","the United States"
"17 Again","Burr Gore Steers","Jason Filardi","the United States"
"Bobbie's Girl","Jeremy Paul Kagan","Samuel Bernstein","Ireland"
"Der Auftrag Höglers","Ingo Clemens Gustav Adolf Freiherr von Wangenheim","Gustav von Wangenheim","''; East Germany; German Democratic Republic"
"Anguish","Josep Joan Bigas i Luna","Bigas Luna","Spain"
"Koeputkiaikuinen ja Simon enkelit","Pertti Olavi Pasanen","Spede Pasanen","Finland; font-size:88%;"
"The Desert Within","Rodrigo Plá","Rodrigo Plá","Mexico"
"Some Like It Cool","Robert Michael Winner","Michael Winner","the United States"
"Crystal Fairy & The Magical Cactus","Sebastián Silva Irarrázabal","Sebastián Silva","Chile"
"Chottanikkara Amma","K. Velayudan Nair","Nagavally R. S. Kurup; Nagavally R. Sreedhara Kurup","Bhārat Gaṇarājya; India"
"Wake Island","John Villiers Farrow","Frank Butler; W. R. Burnett","the United States"
"Nishad","Shaji Neelakantan Karunakaran","Shaji N. Karun","Bhārat Gaṇarājya; India"
"Kanchana Sita","Govindan Aravindan","G. Aravindan","Bhārat Gaṇarājya; India"
"Alibabavum 40 Thirudargalum","Tiruchengodu Ramalingam Sundaram","Murasoli Maran","Bhārat Gaṇarājya; India"
"(USA) Land of Fury","Kenneth Cooper Annakin","John Guthrie","Aotearoa (Māori); New Zealand; United Kingdom"
"(Dov'è la libertà?)","Roberto Gastone Zeffiro Rossellini","Antonio Pietrangeli; Ennio Flaiano; Vincenzo Talarico; Vitaliano Brancati","Italy"
"L'Avare","Louis Germain David de Funès de Galarza","Jean Girault; Louis de Funès","France"
"Christmas Rematch","Giuseppe Avati","Pupi Avati","Italy"
"The Restless Breed","Joseph Aloysius Dwan","Steve Fisher","the United States"
"The Snake Pit","Mikhail Anatol Litwak","Arthur Laurents; Frank Partos; Millen Brand","the United States"
"Lokpal","Joshi","S. N. Swamy","Bhārat Gaṇarājya; India"
"Unfinished Business","Robert James Ellis","Bob Ellis","Australia"
"Prem Pujari","Dharamdev Anand","Dev Anand","Bhārat Gaṇarājya; India"
"Re Daniel Dawal Migel 3","Chakurartha Devadithya Gardiyawasam Lindamulage Roy Aloysius Felix de Silva","Roy de Silva; රෝයි ද සිල්වා","Sri Lanka"
"Good Will Hunting","Gus Green Van Sant, Jr.","Ben Affleck; Matt Damon","the United States"
"Kampf um Rom","Sergiu Florin Nicolaescu","David Ambrose; Felix Dahn; Ladislas Fodor","''; Federal Republic of Germany; Italy; West Germany"
"Hanyut","Zuhir bin Hj Saari","U-Wei Haji Saari","Malaysia"
"Qayamat","Raj Sippy","Kader Khan","Bhārat Gaṇarājya; India"
"The Great Ecstasy of Woodcarver Steiner","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"Grazie... nonna","Marino Girolami","Marino Girolami","Italy"
"Napoléon","Alexandre-Pierre Georges Guitry","Sacha Guitry","France; Italy"
"Une idylle à la ferme","Gabriel-Maximilien Leuvielle","Max Linder","France"
"L'aventure, c'est l'aventure","Claude Barruck Joseph Lelouch","Claude Lelouch; Pierre Uytterhoeven","France"
"Zamaana Deewana","Ramesh Sippy","Robin Bhatt","Bhārat Gaṇarājya; India"
"588 rue paradis","Ashot Malakian","Henri Verneuil","France"
"Al Hilal","Mehboob Khan Ramzan Khan","Wajahat Mirza; Wajahat Mirza Changezi","Bhārat Gaṇarājya; India"
"Darling","Carl-David Johan Natt och Dag; Penmetsa Ram Gopal Varma","Johan Kling; Prawaal Raman","Bhārat Gaṇarājya; India; Konungariket Sverige; Sweden; United Kingdom"
"The Pride of St. Louis","Harmon Clifford Jones","Guy Trosper; Herman J. Mankiewicz","the United States"
"Den ofrivillige golfaren","Lars Gunnar Åberg","Lasse Åberg","Konungariket Sverige; Sweden"
"Breakfast on Pluto","Neil Patrick Jordan","Neil Jordan","Ireland"
"Kanmanikal","Nambiathusseril Varkey John","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Kartinah","Abisin Abbas","Andjar Asmara","Dutch East Indies; Hindia-Belanda; Nederlands-Indië; Nederlandsch-Indië; Netherlands East-Indies"
"Panakkaran","Vasudevan Peethambaram","P. Vasu","Bhārat Gaṇarājya; India"
"The Seekers","Kenneth Cooper Annakin","John Guthrie","Aotearoa (Māori); New Zealand; United Kingdom"
"Armaan","Kidar Nath Sharma","Kidar Sharma","Bhārat Gaṇarājya; India"
"La muerte en este jardín","Luis Buñuel Portolés","Luis Alcoriza; Luis Buñuel; Raymond Queneau","Mexico"
"Enakku Nane Needipathi","S.A. Chandrasekar","S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"Swing High, Swing Low","James Mitchell Leisen","Oscar Hammerstein II; Virginia Van Upp","the United States"
"The Piano","Elizabeth Jane Campion","Dame Jane Campion; Jane Campion","Aotearoa (Māori); New Zealand"
"Rudy Habibie","Setiawan Hanung Bramantyo","Hanung Bramantyo","Indonesia; Republik Indonesia"
"Krodham 2","Prem Kumar Menon","Piraisoodan; Prem Menon","Bhārat Gaṇarājya; India"
"The Silence","Ernst Ingmar Bergman","Ingmar Bergman","Konungariket Sverige; Sweden"
"Viridiana","Luis Buñuel Portolés","Julio Alejandro; Luis Buñuel","Spain"
"Karishmaa","Irruppam Veedu Sasidaran","Manivannan; S Manivannan","Bhārat Gaṇarājya; India"
"Be silent, sorrow ... be silent","Pyotr Ivanovich Krasavtsev","Pyotr Chardynin; Pyotr Ivanovich Chardynin","Russia"
"Oru Yugasandhya","Madhavan Nair","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Parthen Rasithen","K. V. Saravanan","Saran","Bhārat Gaṇarājya; India"
"Ararat","Atom Yeghoyan","Atom Egoyan","Canada; France"
"Gangavataran","Dhundiraj Govind Phalke","Dadasaheb Phalke","India"
"Ontarjatra","Catherine Lucretia Shapere","Catherine Masud; Tareque Masud","''; Bangladesh"
"The Land of Wandering Souls","Panh Rithy","Rithy Panh","Cambodia; Preăh Réachéanachâk Kâmpŭchéa"
"Precautions Against Fanatics","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"Illuminations","Paulus Henrique Benedictus Cox","Paul Cox","Australia"
"Bangarada Mane","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Billy Two Hats","William Theodore Kotcheff","Alan Sharp","the United States"
"Komal Gandhar","Ritwik Kumar Ghatak","Ritwik Ghatak","Bhārat Gaṇarājya; India"
"Memento","Christopher Edward Nolan","Christopher Nolan","the United States"
"The Governess","Sandra A Goldbacher","Sandra Goldbacher","United Kingdom"
"Bucking Broadway","John Martin Feeney","George Hively","the United States"
"Carnival Rock","Roger William Corman","Leo Lieberman","the United States"
"I as in Icarus","Ashot Malakian","Didier Decoin; Henri Verneuil","France"
"Ponnu Veetukkaran","Vasudevan Peethambaram","P. Vasu","Bhārat Gaṇarājya; India"
"Arth 2","Armaghan Shahid","Shaan Shahid","Pakistan"
"The Pagan Queen","Constantin Werner von Siemens","Constantin Werner","the Czech Republic"
"Victory","Elwood Dager Cromwell; Mikhail Ivanovich Doller; Vsevolod Illarionovich Pudovkin","John L. Balderston; Vsevolod Vishnevsky","Soviet Union (USSR); Union of Soviet Socialist Republics; the United States"
"Дом за вешање","Emir Kusturica","Emir Kusturica","''Socialistična federativna republika; Jugoslavija''; Socialist Federal Republic of Yugoslavia; Socijalistička Federativna Republika Jugoslavija; Yugoslavia"
"Nawab Naarkali","Chithamur Vijayaraghavulu Rajendran","Komal Swaminathan","Bhārat Gaṇarājya; India"
"Underworld: Evolution","Len Ryan Wiseman","Danny McBride","the United States"
"Albela","Bhagwan Abhaji Palav","Bhagwan Dada","Bhārat Gaṇarājya; India"
"Castello Cavalcanti","Wesley Wales Anderson","Wes Anderson","Italy"
"Summertree","Anthony Newley","Edward Hume","the United States"
"The Search","Alfred Zinnemann","Betty Smith; Elisabeth Lillian Wehner; Montgomery Clift; Paul Jarrico; Richard Schweizer","Switzerland; font-size:88%;"
"Metropolis","Friedrich Christian Anton Lang","Fritz Lang; Thea von Harbou","Deutsches Reich; German Reich; Weimar Republic"
"Neelakannukal","Madhavan Nair","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Theenaalangal","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Red Wood Pigeon","Giovanni Moretti","Nanni Moretti","Italy"
"Nagarik ""The Citizen""","Ritwik Kumar Ghatak","Ritwik Ghatak","Bhārat Gaṇarājya; India"
"Jagadeka Veera","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Fata Morgana","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"The Snow Queen","Levon Konstantinovich Atamanyan","Hans Christian Andersen; Lev Atamanov; Nikolai Erdman; Лев Атаманов","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Kulambadikal","K. Velayudan Nair","Cheri Viswanath","Bhārat Gaṇarājya; India"
"Ethan Frome","John Philip Madden","Edith Wharton; Richard Nelson","United Kingdom; the United States"
"The Horsemen","John Michael Frankenheimer","Dalton Trumbo","the United States"
"Mattoru Karnan","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Breakheart Pass","Thomas Stephen Gries","Alistair MacLean","the United States"
"Kaayamkulam Kochunniyude Makan","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Young Winston","Richard Samuel Attenborough","Carl Foreman","United Kingdom"
"Los Placeres ocultos","Eloy Germán de la Iglesia Diégue","Eloy de la Iglesia","Spain"
"Dastak","Rajinder Singh Bedi","Rajinder Singh Bedi","Bhārat Gaṇarājya; India"
"Helen of Troy","Robert Earl Wise","John Twist; N. Richard Nash","France; Italy; the United States"
"Compartiment tueurs","Konstantinos Gavras","Sébastien Japrisot","France"
"Beware of Pickpockets","Fung4 Wang4jyun4 (Cantonese); Féng Hóngyuán (Mandarin); 冯宏源 (Simplified); 馮宏源 (Traditional)","Raymond Wong; Raymond Wong Pak-ming; Wong4 Baak3 Ming4; 黃百鳴","Hong Kong"
"Kurukshethra","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Las Hurdes","Luis Buñuel Portolés","Luis Buñuel","Spain"
"The Killers","Andrei Arsenyevich Tarkovsky","Andrei Tarkovsky","Soviet Union (USSR); Union of Soviet Socialist Republics"
"1000 Convicts and a Woman","Raymond John Austin","Oscar Brodney","United Kingdom"
"Bordertown","Gregory James Nava","Gregory Nava","the United States"
"Mr. Arkadin","George Orson Welles","Orson Welles","Spain"
"Manivathoorile Aayiram Sivarathrikal","A.M. Fazil","A. M. Fazil; Fazil; Jagadish","Bhārat Gaṇarājya; India"
"Therkathi Kallan","P. Kalaimani","P. Kalaimani","Bhārat Gaṇarājya; India"
"Tideland","Terrence Vance Gilliam","Terry Gilliam; Tony Grisoni","Canada"
"Agents of Secret Stuff","); Philip Wang (; Ted Fu (; Wesley Chan (","Ryan Higa","the United States"
"Kandahar","A. K. Raveendran","Major Ravi","Bhārat Gaṇarājya; India"
"Sammilana","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Tell Me That You Love Me, Junie Moon","Otto Ludwig Preminger","Marjorie Kellogg","the United States"
"Hanna K.","Konstantinos Gavras","Costa-Gavras; Franco Solinas","Israel"
"When Puppets and Dolls Attack!","Charles Robert Band","Charles Band","the United States"
"Michael Clayton","Anthony Joseph Gilroy","Tony Gilroy","the United States"
"Land of Plenty","Ernst Wilhelm Wenders","Michael Meredith; Wim Wenders","the United States"
"Better Than Chocolate","Dorothy Anne Wheeler","Peggy Thompson","Canada"
"Katha Nayagan","Venkatachary Srinivasan","""Crazy"" Mohan; Crazy Mohan","Bhārat Gaṇarājya; India"
"Iniyum Kadha Thudarum","Joshi","John Paul Puthusery; Kaloor Dennis","Bhārat Gaṇarājya; India"
"Boond Jo Ban Gayee Moti","Shantaram Rajaram Vankudre","Bharat Vyas","Bhārat Gaṇarājya; India"
"Angst","Oddvar Bull Tuhus","Oddvar Bull Tuhus","Norway"
"Chavit","Magno Jose Caparas","Chavit Singson; Luis C. Singson","Republika ng Pilipinas; the Philippines"
"The Magician","Reginald Ingram Montgomery Hitchcock","William Somerset Maugham","the United States"
"The Odessa File","Ronald Elwin Neame","George Markstein; Kenneth Ross","''; Federal Republic of Germany; West Germany"
"The Crazy Ray","René-Lucien Chomette","René Clair","France"
"Uranium Boom","William Schloss, Jr.","George W. George","the United States"
"Bama Vijayam","Kailasam Balachander","K. Balachander; Kailasam Balachander","Bhārat Gaṇarājya; India"
"Flames in the Dark","Hans Gösta Ekman","Hasse Ekman","Konungariket Sverige; Sweden"
"En Thambi","A. Chengalvaraya Mudaliar Thirulokachander","A. C. Tirulokchandar","Bhārat Gaṇarājya; India"
"Monella","Giovanni Brass","Tinto Brass","Italy"
"Ibu Mertuaku","Teuku Zakaria bin Teuku Nyak Puteh","P. Ramlee","Malaysia; Singapore"
"The Runner Stumbles","Stanley Earl Kramer","Milan Stitt","the United States"
"Veera Thirumagan","A. Chengalvaraya Mudaliar Thirulokachander","A. C. Tirulokchandar","Bhārat Gaṇarājya; India"
